sepal_length,sepal_width,petal_length,petal_width,species,event_timestamp,flower_id
5.1,3.5,1.4,0.2,setosa,2025-06-22 18:21:21.912413,0
4.9,3.0,1.4,0.2,setosa,2025-06-22 18:20:21.912413,0
4.7,3.2,1.3,0.2,setosa,2025-06-22 18:19:21.912413,0
4.6,3.1,1.5,0.2,setosa,2025-06-22 18:18:21.912413,0
5.0,3.6,1.4,0.2,setosa,2025-06-22 18:17:21.912413,0
5.4,3.9,1.7,0.4,setosa,2025-06-22 18:16:21.912413,0
4.6,3.4,1.4,0.3,setosa,2025-06-22 18:15:21.912413,0
5.0,3.4,1.5,0.2,setosa,2025-06-22 18:14:21.912413,0
4.4,2.9,1.4,0.2,setosa,2025-06-22 18:13:21.912413,0
4.9,3.1,1.5,0.1,setosa,2025-06-22 18:12:21.912413,0
5.4,3.7,1.5,0.2,setosa,2025-06-22 18:11:21.912413,0
4.8,3.4,1.6,0.2,setosa,2025-06-22 18:10:21.912413,0
4.8,3.0,1.4,0.1,setosa,2025-06-22 18:09:21.912413,0
4.3,3.0,1.1,0.1,setosa,2025-06-22 18:08:21.912413,0
5.8,4.0,1.2,0.2,setosa,2025-06-22 18:07:21.912413,0
5.7,4.4,1.5,0.4,setosa,2025-06-22 18:06:21.912413,0
5.4,3.9,1.3,0.4,setosa,2025-06-22 18:05:21.912413,0
5.1,3.5,1.4,0.3,setosa,2025-06-22 18:04:21.912413,0
5.7,3.8,1.7,0.3,setosa,2025-06-22 18:03:21.912413,0
5.1,3.8,1.5,0.3,setosa,2025-06-22 18:02:21.912413,0
5.4,3.4,1.7,0.2,setosa,2025-06-22 18:01:21.912413,0
5.1,3.7,1.5,0.4,setosa,2025-06-22 18:00:21.912413,0
4.6,3.6,1.0,0.2,setosa,2025-06-22 17:59:21.912413,0
5.1,3.3,1.7,0.5,setosa,2025-06-22 17:58:21.912413,0
4.8,3.4,1.9,0.2,setosa,2025-06-22 17:57:21.912413,0
5.0,3.0,1.6,0.2,setosa,2025-06-22 17:56:21.912413,0
5.0,3.4,1.6,0.4,setosa,2025-06-22 17:55:21.912413,0
5.2,3.5,1.5,0.2,setosa,2025-06-22 17:54:21.912413,0
5.2,3.4,1.4,0.2,setosa,2025-06-22 17:53:21.912413,0
4.7,3.2,1.6,0.2,setosa,2025-06-22 17:52:21.912413,0
4.8,3.1,1.6,0.2,setosa,2025-06-22 17:51:21.912413,0
5.4,3.4,1.5,0.4,setosa,2025-06-22 17:50:21.912413,0
5.2,4.1,1.5,0.1,setosa,2025-06-22 17:49:21.912413,0
5.5,4.2,1.4,0.2,setosa,2025-06-22 17:48:21.912413,0
4.9,3.1,1.5,0.1,setosa,2025-06-22 17:47:21.912413,0
5.0,3.2,1.2,0.2,setosa,2025-06-22 17:46:21.912413,0
5.5,3.5,1.3,0.2,setosa,2025-06-22 17:45:21.912413,0
4.9,3.1,1.5,0.1,setosa,2025-06-22 17:44:21.912413,0
4.4,3.0,1.3,0.2,setosa,2025-06-22 17:43:21.912413,0
5.1,3.4,1.5,0.2,setosa,2025-06-22 17:42:21.912413,0
5.0,3.5,1.3,0.3,setosa,2025-06-22 17:41:21.912413,0
4.5,2.3,1.3,0.3,setosa,2025-06-22 17:40:21.912413,0
4.4,3.2,1.3,0.2,setosa,2025-06-22 17:39:21.912413,0
5.0,3.5,1.6,0.6,setosa,2025-06-22 17:38:21.912413,0
5.1,3.8,1.9,0.4,setosa,2025-06-22 17:37:21.912413,0
4.8,3.0,1.4,0.3,setosa,2025-06-22 17:36:21.912413,0
5.1,3.8,1.6,0.2,setosa,2025-06-22 17:35:21.912413,0
4.6,3.2,1.4,0.2,setosa,2025-06-22 17:34:21.912413,0
5.3,3.7,1.5,0.2,setosa,2025-06-22 17:33:21.912413,0
5.0,3.3,1.4,0.2,setosa,2025-06-22 17:32:21.912413,0
7.0,3.2,4.7,1.4,versicolor,2025-06-22 17:31:21.912413,1
6.4,3.2,4.5,1.5,versicolor,2025-06-22 17:30:21.912413,1
6.9,3.1,4.9,1.5,versicolor,2025-06-22 17:29:21.912413,1
5.5,2.3,4.0,1.3,versicolor,2025-06-22 17:28:21.912413,1
6.5,2.8,4.6,1.5,versicolor,2025-06-22 17:27:21.912413,1
5.7,2.8,4.5,1.3,versicolor,2025-06-22 17:26:21.912413,1
6.3,3.3,4.7,1.6,versicolor,2025-06-22 17:25:21.912413,1
4.9,2.4,3.3,1.0,versicolor,2025-06-22 17:24:21.912413,1
6.6,2.9,4.6,1.3,versicolor,2025-06-22 17:23:21.912413,1
5.2,2.7,3.9,1.4,versicolor,2025-06-22 17:22:21.912413,1
5.0,2.0,3.5,1.0,versicolor,2025-06-22 17:21:21.912413,1
5.9,3.0,4.2,1.5,versicolor,2025-06-22 17:20:21.912413,1
6.0,2.2,4.0,1.0,versicolor,2025-06-22 17:19:21.912413,1
6.1,2.9,4.7,1.4,versicolor,2025-06-22 17:18:21.912413,1
5.6,2.9,3.6,1.3,versicolor,2025-06-22 17:17:21.912413,1
6.7,3.1,4.4,1.4,versicolor,2025-06-22 17:16:21.912413,1
5.6,3.0,4.5,1.5,versicolor,2025-06-22 17:15:21.912413,1
5.8,2.7,4.1,1.0,versicolor,2025-06-22 17:14:21.912413,1
6.2,2.2,4.5,1.5,versicolor,2025-06-22 17:13:21.912413,1
5.6,2.5,3.9,1.1,versicolor,2025-06-22 17:12:21.912413,1
5.9,3.2,4.8,1.8,versicolor,2025-06-22 17:11:21.912413,1
6.1,2.8,4.0,1.3,versicolor,2025-06-22 17:10:21.912413,1
6.3,2.5,4.9,1.5,versicolor,2025-06-22 17:09:21.912413,1
6.1,2.8,4.7,1.2,versicolor,2025-06-22 17:08:21.912413,1
6.4,2.9,4.3,1.3,versicolor,2025-06-22 17:07:21.912413,1
6.6,3.0,4.4,1.4,versicolor,2025-06-22 17:06:21.912413,1
6.8,2.8,4.8,1.4,versicolor,2025-06-22 17:05:21.912413,1
6.7,3.0,5.0,1.7,versicolor,2025-06-22 17:04:21.912413,1
6.0,2.9,4.5,1.5,versicolor,2025-06-22 17:03:21.912413,1
5.7,2.6,3.5,1.0,versicolor,2025-06-22 17:02:21.912413,1
5.5,2.4,3.8,1.1,versicolor,2025-06-22 17:01:21.912413,1
5.5,2.4,3.7,1.0,versicolor,2025-06-22 17:00:21.912413,1
5.8,2.7,3.9,1.2,versicolor,2025-06-22 16:59:21.912413,1
6.0,2.7,5.1,1.6,versicolor,2025-06-22 16:58:21.912413,1
5.4,3.0,4.5,1.5,versicolor,2025-06-22 16:57:21.912413,1
6.0,3.4,4.5,1.6,versicolor,2025-06-22 16:56:21.912413,1
6.7,3.1,4.7,1.5,versicolor,2025-06-22 16:55:21.912413,1
6.3,2.3,4.4,1.3,versicolor,2025-06-22 16:54:21.912413,1
5.6,3.0,4.1,1.3,versicolor,2025-06-22 16:53:21.912413,1
5.5,2.5,4.0,1.3,versicolor,2025-06-22 16:52:21.912413,1
5.5,2.6,4.4,1.2,versicolor,2025-06-22 16:51:21.912413,1
6.1,3.0,4.6,1.4,versicolor,2025-06-22 16:50:21.912413,1
5.8,2.6,4.0,1.2,versicolor,2025-06-22 16:49:21.912413,1
5.0,2.3,3.3,1.0,versicolor,2025-06-22 16:48:21.912413,1
5.6,2.7,4.2,1.3,versicolor,2025-06-22 16:47:21.912413,1
5.7,3.0,4.2,1.2,versicolor,2025-06-22 16:46:21.912413,1
5.7,2.9,4.2,1.3,versicolor,2025-06-22 16:45:21.912413,1
6.2,2.9,4.3,1.3,versicolor,2025-06-22 16:44:21.912413,1
5.1,2.5,3.0,1.1,versicolor,2025-06-22 16:43:21.912413,1
5.7,2.8,4.1,1.3,versicolor,2025-06-22 16:42:21.912413,1
6.3,3.3,6.0,2.5,virginica,2025-06-22 16:41:21.912413,2
5.8,2.7,5.1,1.9,virginica,2025-06-22 16:40:21.912413,2
7.1,3.0,5.9,2.1,virginica,2025-06-22 16:39:21.912413,2
6.3,2.9,5.6,1.8,virginica,2025-06-22 16:38:21.912413,2
6.5,3.0,5.8,2.2,virginica,2025-06-22 16:37:21.912413,2
7.6,3.0,6.6,2.1,virginica,2025-06-22 16:36:21.912413,2
4.9,2.5,4.5,1.7,virginica,2025-06-22 16:35:21.912413,2
7.3,2.9,6.3,1.8,virginica,2025-06-22 16:34:21.912413,2
6.7,2.5,5.8,1.8,virginica,2025-06-22 16:33:21.912413,2
7.2,3.6,6.1,2.5,virginica,2025-06-22 16:32:21.912413,2
6.5,3.2,5.1,2.0,virginica,2025-06-22 16:31:21.912413,2
6.4,2.7,5.3,1.9,virginica,2025-06-22 16:30:21.912413,2
6.8,3.0,5.5,2.1,virginica,2025-06-22 16:29:21.912413,2
5.7,2.5,5.0,2.0,virginica,2025-06-22 16:28:21.912413,2
5.8,2.8,5.1,2.4,virginica,2025-06-22 16:27:21.912413,2
6.4,3.2,5.3,2.3,virginica,2025-06-22 16:26:21.912413,2
6.5,3.0,5.5,1.8,virginica,2025-06-22 16:25:21.912413,2
7.7,3.8,6.7,2.2,virginica,2025-06-22 16:24:21.912413,2
7.7,2.6,6.9,2.3,virginica,2025-06-22 16:23:21.912413,2
6.0,2.2,5.0,1.5,virginica,2025-06-22 16:22:21.912413,2
6.9,3.2,5.7,2.3,virginica,2025-06-22 16:21:21.912413,2
5.6,2.8,4.9,2.0,virginica,2025-06-22 16:20:21.912413,2
7.7,2.8,6.7,2.0,virginica,2025-06-22 16:19:21.912413,2
6.3,2.7,4.9,1.8,virginica,2025-06-22 16:18:21.912413,2
6.7,3.3,5.7,2.1,virginica,2025-06-22 16:17:21.912413,2
7.2,3.2,6.0,1.8,virginica,2025-06-22 16:16:21.912413,2
6.2,2.8,4.8,1.8,virginica,2025-06-22 16:15:21.912413,2
6.1,3.0,4.9,1.8,virginica,2025-06-22 16:14:21.912413,2
6.4,2.8,5.6,2.1,virginica,2025-06-22 16:13:21.912413,2
7.2,3.0,5.8,1.6,virginica,2025-06-22 16:12:21.912413,2
7.4,2.8,6.1,1.9,virginica,2025-06-22 16:11:21.912413,2
7.9,3.8,6.4,2.0,virginica,2025-06-22 16:10:21.912413,2
6.4,2.8,5.6,2.2,virginica,2025-06-22 16:09:21.912413,2
6.3,2.8,5.1,1.5,virginica,2025-06-22 16:08:21.912413,2
6.1,2.6,5.6,1.4,virginica,2025-06-22 16:07:21.912413,2
7.7,3.0,6.1,2.3,virginica,2025-06-22 16:06:21.912413,2
6.3,3.4,5.6,2.4,virginica,2025-06-22 16:05:21.912413,2
6.4,3.1,5.5,1.8,virginica,2025-06-22 16:04:21.912413,2
6.0,3.0,4.8,1.8,virginica,2025-06-22 16:03:21.912413,2
6.9,3.1,5.4,2.1,virginica,2025-06-22 16:02:21.912413,2
6.7,3.1,5.6,2.4,virginica,2025-06-22 16:01:21.912413,2
6.9,3.1,5.1,2.3,virginica,2025-06-22 16:00:21.912413,2
5.8,2.7,5.1,1.9,virginica,2025-06-22 15:59:21.912413,2
6.8,3.2,5.9,2.3,virginica,2025-06-22 15:58:21.912413,2
6.7,3.3,5.7,2.5,virginica,2025-06-22 15:57:21.912413,2
6.7,3.0,5.2,2.3,virginica,2025-06-22 15:56:21.912413,2
6.3,2.5,5.0,1.9,virginica,2025-06-22 15:55:21.912413,2
6.5,3.0,5.2,2.0,virginica,2025-06-22 15:54:21.912413,2
6.2,3.4,5.4,2.3,virginica,2025-06-22 15:53:21.912413,2
5.9,3.0,5.1,1.8,virginica,2025-06-22 15:52:21.912413,2
